"","PassengerId","Survived","PassengerID","Survived1"
"245",1136,0,1136,0
"246",1137,0,1137,0
"247",1138,1,1138,1
"248",1139,0,1139,0
"249",1140,1,1140,1
"250",1141,1,1141,1
"251",1142,1,1142,1
"252",1143,0,1143,0
"253",1144,0,1144,0
"254",1145,0,1145,0
"255",1146,0,1146,0
"256",1147,0,1147,0
"257",1148,0,1148,0
"258",1149,0,1149,0
"259",1150,1,1150,1
"260",1151,0,1151,0
"261",1152,0,1152,0
"262",1153,0,1153,0
"263",1154,1,1154,1
"264",1155,1,1155,1
"265",1156,0,1156,0
"266",1157,0,1157,0
"267",1158,0,1158,0
"268",1159,0,1159,0
"269",1160,1,1160,1
"270",1161,0,1161,0
"271",1162,0,1162,0
"272",1163,0,1163,0
"273",1164,1,1164,1
"274",1165,1,1165,1
"275",1166,0,1166,0
"276",1167,1,1167,1
"277",1168,0,1168,0
"278",1169,0,1169,0
"279",1170,0,1170,0
"280",1171,0,1171,0
"281",1172,1,1172,1
"282",1173,0,1173,0
"283",1174,1,1174,1
"284",1175,1,1175,1
"285",1176,1,1176,1
"286",1177,0,1177,0
"287",1178,0,1178,0
"288",1179,0,1179,0
"289",1180,0,1180,0
"290",1181,0,1181,0
"291",1182,0,1182,0
"292",1183,1,1183,1
"293",1184,0,1184,0
"294",1185,0,1185,0
"295",1186,0,1186,0
"296",1187,0,1187,0
"297",1188,1,1188,1
"298",1189,0,1189,0
"299",1190,0,1190,0
"300",1191,0,1191,0
"301",1192,0,1192,0
"302",1193,0,1193,0
"303",1194,0,1194,0
"304",1195,0,1195,0
"305",1196,1,1196,1
"306",1197,1,1197,1
"307",1198,0,1198,0
"308",1199,0,1199,0
"309",1200,0,1200,0
"310",1201,1,1201,1
"311",1202,0,1202,0
"312",1203,0,1203,0
"313",1204,0,1204,0
"314",1205,1,1205,1
"315",1206,1,1206,1
"316",1207,1,1207,1
"317",1208,0,1208,0
"318",1209,0,1209,0
"319",1210,0,1210,0
"320",1211,0,1211,0
"321",1212,0,1212,0
"322",1213,0,1213,0
"323",1214,0,1214,0
"324",1215,0,1215,0
"325",1216,1,1216,1
"326",1217,0,1217,0
"327",1218,1,1218,1
"328",1219,0,1219,0
"329",1220,0,1220,0
"330",1221,0,1221,0
"331",1222,1,1222,1
"332",1223,0,1223,0
"333",1224,0,1224,0
"334",1225,1,1225,1
"335",1226,0,1226,0
"336",1227,0,1227,0
"337",1228,0,1228,0
"338",1229,0,1229,0
"339",1230,0,1230,0
"340",1231,0,1231,0
"341",1232,0,1232,0
"342",1233,0,1233,0
"343",1234,0,1234,0
"344",1235,1,1235,1
"345",1236,0,1236,0
"346",1237,1,1237,1
"347",1238,0,1238,0
"348",1239,1,1239,1
"349",1240,0,1240,0
"350",1241,1,1241,1
"351",1242,1,1242,1
"352",1243,0,1243,0
"353",1244,0,1244,0
"354",1245,0,1245,0
"355",1246,1,1246,1
"356",1247,0,1247,0
"357",1248,1,1248,1
"358",1249,0,1249,0
"359",1250,0,1250,0
"360",1251,1,1251,1
"361",1252,0,1252,0
"362",1253,1,1253,1
"363",1254,1,1254,1
"364",1255,0,1255,0
"365",1256,1,1256,1
"366",1257,1,1257,0
"367",1258,0,1258,0
"368",1259,1,1259,1
"369",1260,1,1260,1
"370",1261,0,1261,0
"371",1262,0,1262,0
"372",1263,1,1263,1
"373",1264,0,1264,0
"374",1265,0,1265,0
"375",1266,1,1266,1
"376",1267,1,1267,1
"377",1268,1,1268,1
"378",1269,0,1269,0
"379",1270,0,1270,0
"380",1271,0,1271,0
"381",1272,0,1272,0
"382",1273,0,1273,0
"383",1274,1,1274,1
"384",1275,1,1275,1
"385",1276,0,1276,0
"386",1277,1,1277,1
"387",1278,0,1278,0
"388",1279,0,1279,0
"389",1280,0,1280,0
"390",1281,0,1281,0
"391",1282,0,1282,0
"392",1283,1,1283,1
"393",1284,0,1284,0
"394",1285,0,1285,0
"395",1286,0,1286,0
"396",1287,1,1287,1
"397",1288,0,1288,0
"398",1289,1,1289,1
"399",1290,0,1290,0
"400",1291,0,1291,0
"401",1292,1,1292,1
"402",1293,0,1293,0
"403",1294,1,1294,1
"404",1295,0,1295,0
"405",1296,0,1296,0
"406",1297,0,1297,0
"407",1298,0,1298,0
"408",1299,0,1299,0
"409",1300,1,1300,1
"410",1301,1,1301,1
"411",1302,1,1302,1
"412",1303,1,1303,1
"413",1304,1,1304,1
"414",1305,0,1305,0
"415",1306,1,1306,1
"416",1307,0,1307,0
"417",1308,0,1308,0
"418",1309,0,1309,0
